"Time [ms]","Size [B]","Used [B]","CPU usage [%]","GC activity [%]"
"16:57:25.821, 10 giu 2023","266.338.336","20.971.520","0,0","0,0"
"16:57:26.812, 10 giu 2023","266.338.336","20.971.520","0,3","0,0"
"16:57:27.814, 10 giu 2023","266.338.336","20.971.520","2,8","0,0"
"16:57:28.815, 10 giu 2023","266.338.336","20.971.520","0,1","0,0"
"16:57:29.816, 10 giu 2023","266.338.336","139.506.176","38,4","0,2"
"16:57:30.817, 10 giu 2023","266.338.336","25.619.040","15,2","0,1"
"16:57:31.819, 10 giu 2023","266.338.336","63.101.016","14,0","0,0"
"16:57:32.820, 10 giu 2023","266.338.336","130.447.072","16,2","0,0"
"16:57:33.821, 10 giu 2023","266.338.336","94.953.776","13,7","0,0"
"16:57:34.822, 10 giu 2023","266.338.336","29.684.880","14,4","0,1"
"16:57:35.824, 10 giu 2023","266.338.336","42.628.784","12,5","0,1"
"16:57:36.825, 10 giu 2023","320.864.288","13.095.248","12,8","0,1"
"16:57:37.826, 10 giu 2023","320.864.288","122.442.400","13,4","0,0"
"16:57:38.827, 10 giu 2023","320.864.288","73.932.368","14,4","0,1"
"16:57:39.828, 10 giu 2023","320.864.288","31.262.824","15,3","0,1"
"16:57:40.829, 10 giu 2023","320.864.288","35.305.408","14,6","0,0"
"16:57:41.830, 10 giu 2023","320.864.288","35.265.408","13,5","0,0"
"16:57:42.832, 10 giu 2023","320.864.288","29.432.512","13,6","0,0"
"16:57:43.833, 10 giu 2023","320.864.288","70.393.816","17,4","0,0"
"16:57:44.834, 10 giu 2023","320.864.288","125.177.072","13,4","0,0"
"16:57:45.835, 10 giu 2023","320.864.288","175.595.408","12,3","0,0"
"16:57:46.836, 10 giu 2023","320.864.288","186.214.936","14,9","0,0"
"16:57:47.837, 10 giu 2023","320.864.288","23.247.096","13,4","0,1"
"16:57:48.838, 10 giu 2023","320.864.288","184.709.728","14,9","0,0"
"16:57:49.840, 10 giu 2023","320.864.288","179.258.144","14,6","0,0"
"16:57:50.841, 10 giu 2023","320.864.288","175.476.176","14,2","0,0"
"16:57:51.842, 10 giu 2023","320.864.288","26.957.576","12,6","0,1"
"16:57:52.843, 10 giu 2023","320.864.288","56.341.888","12,4","0,1"
"16:57:53.845, 10 giu 2023","320.864.288","83.984.320","13,8","0,1"
"16:57:54.847, 10 giu 2023","320.864.288","105.411.872","13,4","0,1"
"16:57:55.848, 10 giu 2023","320.864.288","156.958.368","12,4","0,0"
"16:57:56.849, 10 giu 2023","320.864.288","12.328.904","12,4","0,1"
"16:57:57.850, 10 giu 2023","320.864.288","37.891.728","12,8","0,0"
"16:57:58.852, 10 giu 2023","320.864.288","41.666.928","12,3","0,0"
"16:57:59.853, 10 giu 2023","320.864.288","139.351.784","13,2","0,0"
"16:58:00.855, 10 giu 2023","320.864.288","137.776.920","12,1","0,0"
"16:58:01.856, 10 giu 2023","320.864.288","14.071.360","12,7","0,1"
"16:58:02.858, 10 giu 2023","320.864.288","43.494.952","12,9","0,0"
"16:58:03.859, 10 giu 2023","320.864.288","100.263.840","12,7","0,0"
"16:58:04.860, 10 giu 2023","320.864.288","71.262.528","12,4","0,0"
"16:58:05.860, 10 giu 2023","320.864.288","78.773.808","15,3","0,0"
"16:58:06.861, 10 giu 2023","320.864.288","120.838.720","13,2","0,0"
"16:58:07.863, 10 giu 2023","320.864.288","169.185.728","12,6","0,0"
"16:58:08.865, 10 giu 2023","320.864.288","142.499.664","12,3","0,0"
"16:58:09.867, 10 giu 2023","320.864.288","184.529.360","13,7","0,0"
"16:58:10.869, 10 giu 2023","320.864.288","12.545.872","13,6","0,1"
"16:58:11.870, 10 giu 2023","320.864.288","16.680.480","14,1","0,0"
"16:58:12.872, 10 giu 2023","320.864.288","33.384.600","13,0","0,0"
"16:58:13.874, 10 giu 2023","320.864.288","42.383.248","12,3","0,0"
"16:58:14.876, 10 giu 2023","320.864.288","38.290.936","12,2","0,0"
"16:58:15.878, 10 giu 2023","320.864.288","22.561.216","14,2","0,0"
"16:58:16.879, 10 giu 2023","320.864.288","75.176.256","12,2","0,0"
"16:58:17.881, 10 giu 2023","320.864.288","117.464.584","12,4","0,0"
"16:58:18.883, 10 giu 2023","320.864.288","120.699.048","13,0","0,1"
"16:58:19.885, 10 giu 2023","320.864.288","112.786.264","14,5","0,0"
"16:58:20.886, 10 giu 2023","320.864.288","97.721.344","17,5","0,0"
"16:58:21.886, 10 giu 2023","320.864.288","124.940.288","13,5","0,1"
"16:58:22.888, 10 giu 2023","320.864.288","97.969.632","12,5","0,0"
"16:58:23.889, 10 giu 2023","320.864.288","93.448.144","13,4","0,0"
"16:58:24.891, 10 giu 2023","320.864.288","72.479.568","12,2","0,0"
"16:58:25.893, 10 giu 2023","320.864.288","88.530.648","13,7","0,0"
"16:58:26.894, 10 giu 2023","320.864.288","97.081.552","12,2","0,0"
"16:58:27.895, 10 giu 2023","320.864.288","116.314.976","13,4","0,0"
"16:58:28.897, 10 giu 2023","320.864.288","175.267.232","12,4","0,0"
"16:58:29.897, 10 giu 2023","320.864.288","34.957.216","14,2","0,1"
"16:58:30.898, 10 giu 2023","320.864.288","81.095.848","13,4","0,0"
"16:58:31.900, 10 giu 2023","320.864.288","108.359.808","12,4","0,1"
"16:58:32.901, 10 giu 2023","320.864.288","75.868.000","12,3","0,0"
"16:58:33.903, 10 giu 2023","320.864.288","67.590.520","12,5","0,1"
"16:58:34.904, 10 giu 2023","320.864.288","67.583.680","13,1","0,0"
"16:58:35.905, 10 giu 2023","320.864.288","63.312.080","12,3","0,0"
"16:58:36.906, 10 giu 2023","320.864.288","73.609.120","12,3","0,0"
"16:58:37.907, 10 giu 2023","320.864.288","83.967.400","15,2","0,0"
"16:58:38.908, 10 giu 2023","320.864.288","165.870.504","13,5","0,0"
"16:58:39.909, 10 giu 2023","320.864.288","79.576.944","13,4","0,0"
"16:58:40.911, 10 giu 2023","320.864.288","35.555.840","12,3","0,0"
"16:58:41.912, 10 giu 2023","320.864.288","31.291.216","12,3","0,0"
"16:58:42.913, 10 giu 2023","320.864.288","150.337.312","15,2","0,0"
"16:58:43.914, 10 giu 2023","320.864.288","156.784.056","12,7","0,0"
"16:58:44.916, 10 giu 2023","320.864.288","160.923.424","12,6","0,0"
"16:58:45.917, 10 giu 2023","320.864.288","174.037.840","12,3","0,0"
"16:58:46.919, 10 giu 2023","320.864.288","60.386.672","12,3","0,1"
"16:58:47.920, 10 giu 2023","320.864.288","140.034.864","12,3","0,0"
"16:58:48.921, 10 giu 2023","320.864.288","24.772.912","14,2","0,1"
"16:58:49.922, 10 giu 2023","320.864.288","94.090.688","12,4","0,0"
"16:58:50.923, 10 giu 2023","320.864.288","159.127.936","13,2","0,0"
"16:58:51.924, 10 giu 2023","320.864.288","14.513.872","13,4","0,1"
"16:58:52.925, 10 giu 2023","320.864.288","39.476.128","12,2","0,0"
"16:58:53.926, 10 giu 2023","320.864.288","50.002.632","13,3","0,0"
"16:58:54.927, 10 giu 2023","320.864.288","58.408.072","12,5","0,0"
"16:58:55.927, 10 giu 2023","320.864.288","69.537.488","12,3","0,0"
"16:58:56.928, 10 giu 2023","320.864.288","86.196.960","12,2","0,0"
"16:58:57.929, 10 giu 2023","320.864.288","102.977.888","15,7","0,0"
"16:58:58.930, 10 giu 2023","320.864.288","140.483.440","13,4","0,0"
"16:58:59.931, 10 giu 2023","320.864.288","163.259.240","12,5","0,0"
"16:59:00.931, 10 giu 2023","320.864.288","5.410.432","14,3","0,1"
"16:59:01.932, 10 giu 2023","320.864.288","57.592.992","12,6","0,0"
"16:59:02.933, 10 giu 2023","320.864.288","92.829.472","12,0","0,0"
"16:59:03.933, 10 giu 2023","320.864.288","162.177.568","12,3","0,0"
"16:59:04.934, 10 giu 2023","320.864.288","182.388.080","16,3","0,0"
"16:59:05.935, 10 giu 2023","320.864.288","31.165.424","16,9","0,1"
"16:59:06.937, 10 giu 2023","320.864.288","83.734.304","14,5","0,0"
"16:59:07.938, 10 giu 2023","320.864.288","136.394.848","12,4","0,0"
"16:59:08.940, 10 giu 2023","320.864.288","86.799.008","12,6","0,0"
"16:59:09.941, 10 giu 2023","320.864.288","89.128.312","12,8","0,0"
"16:59:10.941, 10 giu 2023","320.864.288","97.572.024","12,4","0,0"
"16:59:11.942, 10 giu 2023","320.864.288","150.158.976","13,4","0,0"
"16:59:12.943, 10 giu 2023","320.864.288","20.227.584","13,2","0,1"
"16:59:13.944, 10 giu 2023","320.864.288","77.381.288","13,0","0,0"
"16:59:14.945, 10 giu 2023","320.864.288","135.317.760","12,9","0,0"
"16:59:15.946, 10 giu 2023","320.864.288","29.053.880","12,2","0,0"
"16:59:16.947, 10 giu 2023","320.864.288","29.064.640","12,8","0,0"
"16:59:17.949, 10 giu 2023","320.864.288","15.861.488","12,4","0,0"
"16:59:18.950, 10 giu 2023","320.864.288","142.938.560","12,7","0,0"
"16:59:19.952, 10 giu 2023","320.864.288","128.554.240","13,4","0,0"
"16:59:20.953, 10 giu 2023","320.864.288","113.804.080","12,8","0,1"
"16:59:21.954, 10 giu 2023","320.864.288","94.837.968","12,4","0,0"
"16:59:22.955, 10 giu 2023","320.864.288","109.350.176","13,7","0,0"
"16:59:23.956, 10 giu 2023","320.864.288","166.406.776","12,3","0,0"
"16:59:24.957, 10 giu 2023","320.864.288","97.342.152","13,4","0,0"
"16:59:25.959, 10 giu 2023","320.864.288","117.065.104","12,3","0,0"
"16:59:26.960, 10 giu 2023","320.864.288","151.332.048","13,0","0,0"
"16:59:27.961, 10 giu 2023","320.864.288","12.278.720","13,3","0,0"
"16:59:28.963, 10 giu 2023","320.864.288","47.893.456","11,9","0,0"
"16:59:29.964, 10 giu 2023","320.864.288","31.501.488","12,4","0,0"
