"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:18:36.130, 11 giu 2023","0,0","0,0","266.338.336","20.971.520"
"10:18:37.122, 11 giu 2023","0,3","0,0","266.338.336","20.971.520"
"10:18:38.122, 11 giu 2023","0,0","0,0","266.338.336","20.971.520"
"10:18:39.123, 11 giu 2023","1,3","0,0","266.338.336","3.320.416"
"10:18:40.124, 11 giu 2023","37,3","0,1","266.338.336","28.642.016"
"10:18:41.125, 11 giu 2023","15,1","0,0","266.338.336","38.151.328"
"10:18:42.126, 11 giu 2023","15,0","0,0","266.338.336","10.684.464"
"10:18:43.127, 11 giu 2023","15,7","0,0","266.338.336","98.972.800"
"10:18:44.128, 11 giu 2023","12,9","0,0","266.338.336","48.851.312"
"10:18:45.129, 11 giu 2023","10,5","0,2","266.338.336","14.646.800"
"10:18:46.197, 11 giu 2023","6,2","0,0","266.338.336","123.698.704"
"10:18:47.189, 11 giu 2023","14,1","0,1","266.338.336","132.563.736"
"10:18:48.191, 11 giu 2023","15,9","0,2","320.864.288","23.864.832"
"10:18:49.192, 11 giu 2023","13,9","0,1","320.864.288","11.183.840"
"10:18:50.194, 11 giu 2023","12,4","0,1","320.864.288","9.087.960"
"10:18:51.195, 11 giu 2023","14,1","0,0","320.864.288","18.554.472"
"10:18:52.196, 11 giu 2023","13,0","0,0","320.864.288","43.678.592"
"10:18:53.198, 11 giu 2023","12,2","0,0","320.864.288","75.046.192"
"10:18:54.199, 11 giu 2023","16,0","0,0","320.864.288","108.663.872"
"10:18:55.201, 11 giu 2023","14,6","0,0","320.864.288","169.079.736"
"10:18:56.202, 11 giu 2023","12,4","0,1","320.864.288","51.849.584"
"10:18:57.204, 11 giu 2023","13,2","0,0","320.864.288","100.292.672"
"10:18:58.205, 11 giu 2023","13,9","0,0","320.864.288","131.597.616"
"10:18:59.207, 11 giu 2023","17,4","0,0","320.864.288","159.543.680"
"10:19:00.208, 11 giu 2023","13,5","0,0","320.864.288","158.465.024"
"10:19:01.210, 11 giu 2023","13,9","0,0","320.864.288","175.535.648"
"10:19:02.212, 11 giu 2023","13,2","0,1","320.864.288","35.599.944"
"10:19:03.213, 11 giu 2023","12,3","0,1","320.864.288","81.507.512"
"10:19:04.215, 11 giu 2023","14,7","0,0","320.864.288","99.031.200"
"10:19:05.216, 11 giu 2023","13,6","0,1","320.864.288","120.218.848"
"10:19:06.217, 11 giu 2023","12,2","0,0","320.864.288","165.208.624"
"10:19:07.218, 11 giu 2023","12,2","0,1","320.864.288","37.500.960"
"10:19:08.220, 11 giu 2023","13,2","0,0","320.864.288","87.838.944"
"10:19:09.222, 11 giu 2023","13,9","0,0","320.864.288","104.678.416"
"10:19:10.223, 11 giu 2023","12,8","0,0","320.864.288","82.712.552"
"10:19:11.224, 11 giu 2023","12,6","0,0","320.864.288","129.366.688"
"10:19:12.225, 11 giu 2023","13,7","0,1","320.864.288","8.010.560"
"10:19:13.226, 11 giu 2023","15,2","0,0","320.864.288","70.928.640"
"10:19:14.227, 11 giu 2023","12,5","0,0","320.864.288","121.229.096"
"10:19:15.228, 11 giu 2023","12,4","0,0","320.864.288","111.365.168"
"10:19:16.229, 11 giu 2023","13,0","0,0","320.864.288","99.622.840"
"10:19:17.231, 11 giu 2023","13,0","0,0","320.864.288","150.181.680"
"10:19:18.232, 11 giu 2023","13,7","0,0","320.864.288","141.909.576"
"10:19:19.234, 11 giu 2023","12,8","0,1","320.864.288","8.333.672"
"10:19:20.235, 11 giu 2023","12,2","0,0","320.864.288","31.329.248"
"10:19:21.237, 11 giu 2023","13,6","0,0","320.864.288","37.616.144"
"10:19:22.239, 11 giu 2023","12,2","0,0","320.864.288","62.722.304"
"10:19:23.240, 11 giu 2023","14,4","0,0","320.864.288","98.829.568"
"10:19:24.242, 11 giu 2023","12,2","0,0","320.864.288","113.815.096"
"10:19:25.243, 11 giu 2023","12,4","0,0","320.864.288","130.709.392"
"10:19:26.244, 11 giu 2023","14,5","0,0","320.864.288","169.420.976"
"10:19:27.245, 11 giu 2023","13,4","0,1","320.864.288","35.316.608"
"10:19:28.246, 11 giu 2023","16,0","0,0","320.864.288","43.860.040"
"10:19:29.248, 11 giu 2023","13,0","0,0","320.864.288","186.073.576"
"10:19:30.250, 11 giu 2023","13,5","0,1","320.864.288","7.470.336"
"10:19:31.252, 11 giu 2023","12,2","0,1","320.864.288","43.306.832"
"10:19:32.253, 11 giu 2023","12,4","0,0","320.864.288","55.892.984"
"10:19:33.254, 11 giu 2023","12,8","0,0","320.864.288","36.880.608"
"10:19:34.256, 11 giu 2023","12,2","0,0","320.864.288","22.044.160"
"10:19:35.258, 11 giu 2023","12,2","0,0","320.864.288","33.966.536"
"10:19:36.259, 11 giu 2023","12,2","0,0","320.864.288","53.042.960"
"10:19:37.260, 11 giu 2023","13,6","0,0","320.864.288","63.850.336"
"10:19:38.262, 11 giu 2023","12,1","0,1","320.864.288","122.797.792"
"10:19:39.263, 11 giu 2023","12,0","0,1","320.864.288","177.424.896"
"10:19:40.264, 11 giu 2023","13,2","0,1","320.864.288","26.370.056"
"10:19:41.265, 11 giu 2023","12,8","0,1","320.864.288","49.452.680"
"10:19:42.266, 11 giu 2023","13,4","0,0","320.864.288","17.372.800"
"10:19:43.268, 11 giu 2023","12,7","0,1","320.864.288","19.202.224"
"10:19:44.270, 11 giu 2023","13,6","0,0","320.864.288","12.866.672"
"10:19:45.271, 11 giu 2023","12,2","0,0","320.864.288","10.778.464"
"10:19:46.272, 11 giu 2023","13,1","0,0","320.864.288","191.120.120"
"10:19:47.273, 11 giu 2023","12,0","0,1","320.864.288","6.278.096"
"10:19:48.274, 11 giu 2023","12,2","0,0","320.864.288","144.947.632"
"10:19:49.276, 11 giu 2023","15,5","0,1","320.864.288","60.570.352"
"10:19:50.277, 11 giu 2023","13,3","0,0","320.864.288","14.417.344"
"10:19:51.278, 11 giu 2023","12,2","0,0","320.864.288","187.356.704"
"10:19:52.279, 11 giu 2023","14,3","0,0","320.864.288","135.661.360"
"10:19:53.281, 11 giu 2023","12,2","0,0","320.864.288","137.825.632"
"10:19:54.283, 11 giu 2023","15,0","0,0","320.864.288","139.988.512"
"10:19:55.284, 11 giu 2023","12,8","0,0","320.864.288","105.551.008"
"10:19:56.285, 11 giu 2023","13,0","0,0","320.864.288","154.712.960"
"10:19:57.287, 11 giu 2023","14,1","0,1","320.864.288","28.932.528"
"10:19:58.289, 11 giu 2023","12,2","0,0","320.864.288","96.043.568"
"10:19:59.290, 11 giu 2023","12,4","0,0","320.864.288","161.043.472"
"10:20:00.292, 11 giu 2023","13,2","0,1","320.864.288","35.297.832"
"10:20:01.293, 11 giu 2023","12,2","0,0","320.864.288","81.446.096"
"10:20:02.295, 11 giu 2023","12,0","0,0","320.864.288","138.143.680"
"10:20:03.296, 11 giu 2023","14,2","0,0","320.864.288","121.407.744"
"10:20:04.297, 11 giu 2023","13,1","0,0","320.864.288","129.701.336"
"10:20:05.298, 11 giu 2023","12,6","0,0","320.864.288","136.199.360"
"10:20:06.299, 11 giu 2023","12,4","0,0","320.864.288","142.795.456"
"10:20:07.300, 11 giu 2023","13,0","0,0","320.864.288","151.273.736"
"10:20:08.301, 11 giu 2023","12,2","0,0","320.864.288","184.336.712"
"10:20:09.303, 11 giu 2023","12,2","0,1","320.864.288","45.599.424"
"10:20:10.304, 11 giu 2023","13,0","0,1","320.864.288","58.032.536"
"10:20:11.305, 11 giu 2023","12,2","0,0","320.864.288","118.336.192"
"10:20:12.306, 11 giu 2023","12,4","0,0","320.864.288","164.396.512"
"10:20:13.308, 11 giu 2023","15,0","0,1","320.864.288","21.717.752"
"10:20:14.309, 11 giu 2023","15,8","0,1","320.864.288","58.601.312"
"10:20:15.310, 11 giu 2023","14,7","0,0","320.864.288","86.817.312"
"10:20:16.312, 11 giu 2023","16,1","0,0","320.864.288","108.694.024"
"10:20:17.313, 11 giu 2023","12,5","0,0","320.864.288","165.558.768"
"10:20:18.314, 11 giu 2023","14,1","0,0","320.864.288","159.227.816"
"10:20:19.316, 11 giu 2023","13,7","0,0","320.864.288","141.546.552"
"10:20:20.318, 11 giu 2023","13,6","0,0","320.864.288","137.276.784"
"10:20:21.319, 11 giu 2023","12,4","0,1","320.864.288","185.719.616"
"10:20:22.320, 11 giu 2023","15,6","0,1","320.864.288","43.363.208"
"10:20:23.321, 11 giu 2023","12,2","0,1","320.864.288","93.288.432"
"10:20:24.323, 11 giu 2023","14,3","0,0","320.864.288","148.498.224"
"10:20:25.324, 11 giu 2023","12,4","0,0","320.864.288","131.158.584"
"10:20:26.325, 11 giu 2023","13,0","0,0","320.864.288","91.987.328"
"10:20:27.326, 11 giu 2023","12,4","0,0","320.864.288","91.947.440"
"10:20:28.327, 11 giu 2023","13,5","0,0","320.864.288","48.577.792"
"10:20:29.328, 11 giu 2023","13,0","0,1","320.864.288","38.326.656"
"10:20:30.329, 11 giu 2023","12,4","0,0","320.864.288","29.754.600"
"10:20:31.330, 11 giu 2023","13,5","0,0","320.864.288","21.432.656"
"10:20:32.331, 11 giu 2023","13,6","0,0","320.864.288","21.334.272"
"10:20:33.332, 11 giu 2023","12,2","0,0","320.864.288","78.267.832"
"10:20:34.333, 11 giu 2023","12,2","0,0","320.864.288","49.014.232"
"10:20:35.334, 11 giu 2023","13,0","0,0","320.864.288","59.090.496"
"10:20:36.335, 11 giu 2023","12,2","0,0","320.864.288","94.568.600"
"10:20:37.336, 11 giu 2023","12,9","0,0","320.864.288","142.693.672"
"10:20:38.337, 11 giu 2023","14,2","0,0","320.864.288","182.171.920"
